Estado,Partido,MR,RP,Legislatura,year
Durango,PAN,3,,LX,1995
Durango,PRD,,,LX,1995
Durango,PT,2,,LX,1995
Durango,PRI,14,,LXI,1998
Durango,PAN,1,,LXI,1998
Durango,PRD,,,LXI,1998
Durango,PT,,,LXI,1998
Durango,PAN,2,,LXII,2001
Durango,PD,,,LXII,2001
Durango,PRD,,,LXII,2001
Durango,PRI,13,,LXII,2001
Durango,PT,,,LXII,2001
Durango,PAN,,,LXIII,2004
Durango,PD,,,LXIII,2004
Durango,PRD,,,LXIII,2004
Durango,PRI,15,,LXIII,2004
Durango,PT,,,LXIII,2004
Durango,PAN,,,LXIV,2007
Durango,PD,,,LXIV,2007
Durango,PNA,,,LXIV,2007
Durango,PRD,,,LXIV,2007
Durango,PRI,17,,LXIV,2007
Durango,PT,,,LXIV,2007
Durango,PAN,4,,LXV,2010
Durango,PD,,,LXV,2010
Durango,PNA,2,,LXV,2010
Durango,PRD,,,LXV,2010
Durango,PRI,11,,LXV,2010
Durango,PT,,,LXV,2010
Durango,PVEM,,,LXV,2010
Durango,Coalición,,,LXVI,2013
Durango,MC,,,LXVI,2013
Durango,PAN,,,LXVI,2013
Durango,PD,,,LXVI,2013
Durango,PNA,,,LXVI,2013
Durango,PRD,,,LXVI,2013
Durango,PRI,17,,LXVI,2013
Durango,PT,,,LXVI,2013
Durango,PVEM,,,LXVI,2013
Durango,PAN,5,,LXVII,2016
Durango,PRD,1,,LXVII,2016
Durango,PRI,6,,LXVII,2016
Durango,PNA,1,,LXVII,2016
Durango,PVEM,1,,LXVII,2016
Durango,PD,1,,LXVII,2016
Durango,PVEM,,,LXVII,2016
Durango,Morena,7,,LXVIII,2018
Durango,PT,4,,LXVIII,2018
Durango,PAN,3,,LXVIII,2018
Durango,PRI,1,,LXVIII,2018
Durango,PVEM,,,LXVIII,2018
Estado de México,PRI,15,,XLV,1972
Estado de México,PRI,21,,XLVI,1975
Estado de México,PAN,,,XLVI,1975
Estado de México,PPS,,,XLVI,1975
Estado de México,PRI,28,,XLVII,1978
Estado de México,PPS,,,XLVII,1978
Estado de México,PARM,,,XLVII,1978
Estado de México,PRI,28,,XLVIII,1981
Estado de México,PAN,,,XLVIII,1981
Estado de México,PST,,,XLVIII,1981
Estado de México,PPS,,,XLVIII,1981
Estado de México,PARM,,,XLVIII,1981
Estado de México,PCM,,,XLVIII,1981
